,Word,Similarity
0,department,0.8820542097091675
1,inspectors,0.873041033744812
2,issued,0.8640624284744263
3,commissioner,0.8381227254867554
4,city,0.8292100429534912
5,cranes,0.8288787603378296
6,involved,0.827131986618042
7,contractor,0.8162710666656494
8,violations,0.8125499486923218
9,tower,0.8120886087417603
10,crane,0.8076134920120239
11,investigation,0.801001787185669
12,j.,0.79530930519104
13,office,0.7931632399559021
14,equipment,0.7863538265228271
15,site,0.7816919088363647
16,found,0.7682146430015564
17,district,0.7628703713417053
18,charges,0.748893678188324
19,investigators,0.7231414318084717
20,former,0.7158387899398804
21,company,0.7131748795509338
22,several,0.7126418352127075
23,officials,0.7077316641807556
24,mayor,0.6883387565612793
25,contractors,0.6817543506622314
26,engineers,0.6647946834564209
27,sites,0.6545307040214539
28,construction,0.6317230463027954
29,including,0.6294206976890564
30,began,0.6258193254470825
31,chief,0.6246244311332703
32,top,0.6210594177246094
33,according,0.6069657206535339
34,manhattan,0.6060222387313843
35,york,0.5825263857841492
36,steel,0.5677356719970703
37,safety,0.5625626444816589
38,concrete,0.5550603866577148
39,times,0.5540163516998291
40,collapse,0.5535142421722412
41,official,0.5499268770217896
42,east,0.5412445664405823
43,death,0.5365992188453674
44,work,0.536598801612854
45,fire,0.5253745317459106
46,used,0.5231549739837646
47,friday,0.5173792839050293
48,across,0.5140114426612854
49,floor,0.507068395614624
50,street,0.49704045057296753
51,also,0.4968408942222595
52,whether,0.49050480127334595
53,case,0.48035940527915955
54,spokesman,0.4773437976837158
55,administration,0.4767882823944092
56,set,0.46108463406562805
57,brooklyn,0.45490673184394836
58,new,0.45464250445365906
59,cause,0.4517015814781189
60,,0.44619330763816833
61,fell,0.4425366520881653
62,report,0.4392413794994354
63,federal,0.4343072175979614
64,thursday,0.4314653277397156
65,yesterday,0.4273861050605774
66,union,0.4262624680995941
67,working,0.42246294021606445
68,recent,0.4180837869644165
69,agency,0.41708165407180786
70,march,0.4106142818927765
71,avenue,0.4097819924354553
72,place,0.4065321981906891
73,deaths,0.40411514043807983
74,workers,0.3930456042289734
75,months,0.3926771581172943
76,transportation,0.38859981298446655
77,number,0.3885614275932312
78,called,0.37555190920829773
79,week,0.37511739134788513
80,injuries,0.3692331314086914
81,tuesday,0.36664748191833496
82,monday,0.36494332551956177
83,state,0.36086124181747437
84,west,0.36049744486808777
85,known,0.35462456941604614
86,may,0.354140043258667
87,board,0.3468148112297058
88,later,0.3447916507720947
89,second,0.34168803691864014
90,said.the,0.341485857963562
91,job,0.34028366208076477
92,mr.,0.33319205045700073
93,said,0.330443412065506
94,side,0.32271286845207214
95,residents,0.31829124689102173
96,took,0.31613242626190186
97,ms.,0.31598368287086487
98,seven,0.31310200691223145
99,authorities,0.3112868070602417
